45,44,463
38,24,223
38,17,490
38,20,688
38,23,6
35,14,535
35,3,1157
35,30,690
39,40,506
31,34,451
31,30,898
3,30,747
13,34,317
13,14,161
13,17,380
13,30,900
7,5,404
7,6,172
7,35,480
7,3,680
7,30,435
19,42,650
19,41,265
19,21,186
19,18,175
15,16,287
15,12,174
15,34,200
32,33,527
32,9,173
32,34,326
32,31,297
32,11,860
16,13,300
16,12,455
16,34,370
16,17,115
36,42,280
36,35,518
36,14,292
43,42,358
4,5,280
4,3,870
2,0,790
2,1,395
2,3,895
41,42,876
41,38,1107
41,21,286
41,25,690
41,40,1050
41,20,436
42,21,604
42,18,577
42,35,520
42,20,755
33,9,488
9,34,320
8,31,358
8,30,400
33,11,823
28,12,158
28,34,246
5,6,260
5,3,845
12,34,282
0,1,418
0,3,1648
14,30,1105
10,12,131
10,33,501
10,9,152
10,34,391
22,41,713
22,40,495
37,13,218
37,36,252
37,42,523
37,38,764
37,29,526
37,14,57
37,17,277
37,20,685
29,20,160
6,35,392
6,3,795
